,一句话概括,中文名,电影信息,评价数量,评分
0,希望让人自由。,肖申克的救赎,['\n                            导演: 弗兰克·德拉邦特 Frank Darabont\xa0\xa0\xa0主演: 蒂姆·罗宾斯 Tim Robbins /...'],1334437人评价,9.6
0,风华绝代。,霸王别姬,['\n                            导演: 陈凯歌 Kaige Chen\xa0\xa0\xa0主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...'],985345人评价,9.6
0,怪蜀黍和小萝莉不得不说的故事。,这个杀手不太冷,['\n                            导演: 吕克·贝松 Luc Besson\xa0\xa0\xa0主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...'],1220764人评价,9.4
0,一部美国近现代史。,阿甘正传,['\n                            导演: 罗伯特·泽米吉斯 Robert Zemeckis\xa0\xa0\xa0主演: 汤姆·汉克斯 Tom Hanks / ...'],1051154人评价,9.4
0,最美的谎言。,美丽人生,['\n                            导演: 罗伯托·贝尼尼 Roberto Benigni\xa0\xa0\xa0主演: 罗伯托·贝尼尼 Roberto Beni...'],615039人评价,9.5
0,失去的才是永恒的。 ,泰坦尼克号,['\n                            导演: 詹姆斯·卡梅隆 James Cameron\xa0\xa0\xa0主演: 莱昂纳多·迪卡普里奥 Leonardo...'],989701人评价,9.3
0,最好的宫崎骏，最好的久石让。 ,千与千寻,['\n                            导演: 宫崎骏 Hayao Miyazaki\xa0\xa0\xa0主演: 柊瑠美 Rumi H?ragi / 入野自由 Miy...'],978707人评价,9.3
0,拯救一个人，就是拯救整个世界。,辛德勒的名单,['\n                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg\xa0\xa0\xa0主演: 连姆·尼森 Liam Neeson...'],548844人评价,9.5
0,诺兰给了我们一场无法盗取的梦。,盗梦空间,['\n                            导演: 克里斯托弗·诺兰 Christopher Nolan\xa0\xa0\xa0主演: 莱昂纳多·迪卡普里奥 Le...'],1063905人评价,9.3
0,永远都不能忘记你所爱的人。,忠犬八公的故事,['\n                            导演: 莱塞·霍尔斯道姆 Lasse Hallstr?m\xa0\xa0\xa0主演: 理查·基尔 Richard Ger...'],695174人评价,9.3
