,Name,Company,Praise Level,Comment Number,Language,Price,Issue time,System Require,Game Tags
0,Counter-Strike: Global Offensive,Valve,Very Positive,"3,044,870","FPS, Multiplayer, Shooter, Action, Team-Based, Competitive, Tactical, First-Person, e-sports, PvP, Online Co-Op, Military, Co-op, Strategy, War, Trading, Difficult, Realistic, Fast-Paced, Moddable",Free to Play,"22 Aug, 2012"," Windows® 7/Vista/XP,  Intel® Core™ 2 Duo E6600 or AMD Phenom™ X3 8750 processor or better,  2 GB RAM,  Video card must be 256 MB or more and should be a DirectX 9-compatible with support for Pixel Shader 3.0,  Version 9.0c,  15 GB available space","FPS, Multiplayer, Shooter, Action, Team-Based, Competitive, Tactical, First-Person, e-sports, PvP, Online Co-Op, Military, Co-op, Strategy, War, Trading, Difficult, Realistic, Fast-Paced, Moddable"
1,Dota 2,Valve,Very Positive,"1,005,324","Free to Play, MOBA, Strategy, Multiplayer, Team-Based, Action, e-sports, Online Co-Op, Competitive, PvP, RTS, Difficult, RPG, Fantasy, Tower Defense, Co-op, Character Customization, Replay Value, Action RPG, Simulation",Free to Play,"9 Jul, 2013"," Windows 7 or newer,  Dual core from Intel or AMD at 2.8 GHz,  4 GB RAM,  nVidia GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600,  Version 9.0c,  Broadband Internet connection,  15 GB available space,  DirectX Compatible","Free to Play, MOBA, Strategy, Multiplayer, Team-Based, Action, e-sports, Online Co-Op, Competitive, PvP, RTS, Difficult, RPG, Fantasy, Tower Defense, Co-op, Character Customization, Replay Value, Action RPG, Simulation"
2,Dying Light,Techland,Very Positive,"59,897","Zombies, Survival, Open World, Parkour, Co-op, Multiplayer, Action, First-Person, Horror, Gore, Survival Horror, Crafting, FPS, Adventure, Atmospheric, Shooter, Singleplayer, RPG, Stealth, Sandbox", 221,"26 Jan, 2015"," Windows® 7 64-bit / Windows® 8 64-bit / Windows® 8.1 64-bit, \t,  Intel® Core™ i5-2500 @3.3 GHz / AMD FX-8320 @3.5 GHz, \t,  4 GB RAM DDR3, \t,  40 GB free space, \t,  NVIDIA® GeForce® GTX 560 / AMD Radeon™ HD 6870 (1GB VRAM),         ,  Version 11,         ,  DirectX® compatible,         ,  Laptop versions of graphics cards may work but are NOT officially supported., Windows-compatible keyboard, mouse, optional controller (Xbox 360 Controller for Windows recommended)","Zombies, Survival, Open World, Parkour, Co-op, Multiplayer, Action, First-Person, Horror, Gore, Survival Horror, Crafting, FPS, Adventure, Atmospheric, Shooter, Singleplayer, RPG, Stealth, Sandbox"
3,Mortal Kombat\xa011,NetherRealm Studios,,No user reviews,"Fighting, Gore, Violent, Action, Multiplayer, Blood, 2D Fighter, Story Rich, Singleplayer, Atmospheric, Great Soundtrack, Mature, Competitive, Local Multiplayer, Character Customization, Cute, 2.5D, Arcade, Horror, Sexual Content", 163,"24 Apr, 2019"," 64-bit Windows 7 / Windows 10,  Intel Core i5-750, 2.66 GHz / AMD Phenom II X4 965, 3.4 GHz or AMD Ryzen™ 3 1200, 3.1 GHz,  8 GB RAM,  NVIDIA® GeForce™ GTX 670 or NVIDIA® GeForce™ GTX 1050 / AMD® Radeon™ HD 7950 or AMD® Radeon™ R9 270,  Version 11,  Broadband Internet connection","Fighting, Gore, Violent, Action, Multiplayer, Blood, 2D Fighter, Story Rich, Singleplayer, Atmospheric, Great Soundtrack, Mature, Competitive, Local Multiplayer, Character Customization, Cute, 2.5D, Arcade, Horror, Sexual Content"
4,Warframe,Digital Extremes,Very Positive,"246,698","Free to Play, Action, Co-op, Multiplayer, Third-Person Shooter, Sci-fi, Ninja, Shooter, Parkour, Space, Online Co-Op, Futuristic, Third Person, Massively Multiplayer, PvE, RPG, Singleplayer, Hack and Slash, FPS, Cyberpunk",Free to Play,"26 Mar, 2013","Windows 7 64-Bit (32-bit not supported), \t, Intel Core 2 Duo e6400 or AMD Athlon x64 4000+,         , DirectX 10+ capable Graphics Card, \t, 4 GB RAM, \t, 35 GB available HD space , \t, Broadband Internet Connection Required","Free to Play, Action, Co-op, Multiplayer, Third-Person Shooter, Sci-fi, Ninja, Shooter, Parkour, Space, Online Co-Op, Futuristic, Third Person, Massively Multiplayer, PvE, RPG, Singleplayer, Hack and Slash, FPS, Cyberpunk"
5,Sekiro™: Shadows Die Twice,FromSoftware,Very Positive,No user reviews,"Action, Souls-like, Difficult, Singleplayer, Ninja, Stealth, Adventure, Violent, Third Person, Atmospheric, Dark Fantasy, Funny, Assassin, Open World, Story Rich, Great Soundtrack, Gore, Dark, Hack and Slash, RPG", 268,"22 Mar, 2019"," Windows 7 64-bit | Windows 8 64-bit | Windows 10 64-bit,  Intel Core i3-2100 | AMD FX-6300,  4 GB RAM,  NVIDIA GeForce GTX 760 | AMD Radeon HD 7950,  Version 11,  Broadband Internet connection,  25 GB available space,  DirectX 11 Compatible","Action, Souls-like, Difficult, Singleplayer, Ninja, Stealth, Adventure, Violent, Third Person, Atmospheric, Dark Fantasy, Funny, Assassin, Open World, Story Rich, Great Soundtrack, Gore, Dark, Hack and Slash, RPG"
6,Grand Theft Auto V,Rockstar North,Mostly Positive,"401,716","Open World, Action, Multiplayer, Third Person, First-Person, Crime, Shooter, Adventure, Third-Person Shooter, Singleplayer, Mature, Racing, Atmospheric, Sandbox, Co-op, Funny, Great Soundtrack, Comedy, Moddable, RPG", 119,"14 Apr, 2015","Requires a 64-bit processor and operating system,  Windows 10 64 Bit, Windows 8.1 64 Bit, Windows 8 64 Bit, Windows 7 64 Bit Service Pack 1,  Intel Core 2 Quad CPU Q6600 @ 2.40GHz (4 CPUs) / AMD Phenom 9850 Quad-Core Processor (4 CPUs) @ 2.5GHz,  4 GB RAM,  NVIDIA 9800 GT 1GB / AMD HD 4870 1GB (DX 10, 10.1, 11),  72 GB available space,  100% DirectX 10 compatible,  Over time downloadable content and programming changes will change the system requirements for this game.  Please refer to your hardware manufacturer and ,  for current compatibility information. Some system components such as mobile chipsets, integrated, and AGP graphics cards may be incompatible. Unlisted specifications may not be supported by publisher.     Other requirements:  Installation and online play requires log-in to Rockstar Games Social Club (13+) network; internet connection required for activation, online play, and periodic entitlement verification; software installations required including Rockstar Games Social Club platform, DirectX , Chromium, and Microsoft Visual C++ 2008 sp1 Redistributable Package, and authentication software that recognizes certain hardware attributes for entitlement, digital rights management, system, and other support purposes.     SINGLE USE SERIAL CODE REGISTRATION VIA INTERNET REQUIRED; REGISTRATION IS LIMITED TO ONE ROCKSTAR GAMES SOCIAL CLUB ACCOUNT (13+) PER SERIAL CODE; ONLY ONE PC LOG-IN ALLOWED PER SOCIAL CLUB ACCOUNT AT ANY TIME; SERIAL CODE(S) ARE NON-TRANSFERABLE ONCE USED; SOCIAL CLUB ACCOUNTS ARE NON-TRANSFERABLE.  Partner Requirements:  Please check the terms of service of this site before purchasing this software.","Open World, Action, Multiplayer, Third Person, First-Person, Crime, Shooter, Adventure, Third-Person Shooter, Singleplayer, Mature, Racing, Atmospheric, Sandbox, Co-op, Funny, Great Soundtrack, Comedy, Moddable, RPG"
7,Risk of Rain 2,Hopoo Games,Overwhelmingly Positive,No user reviews,"Early Access, Rogue-like, Multiplayer, Co-op, Early Access, Action, Indie, Third-Person Shooter, Great Soundtrack, Rogue-lite, Difficult, Singleplayer, 3D, Bullet Hell, Loot, Online Co-Op, Survival, Third Person, Local Co-Op, Sci-fi", 70,"29 Mar, 2019","Requires a 64-bit processor and operating system,  Windows 7 or newer, 64-bit,  Intel Core i3-6100 / AMD FX-8350,  4 GB RAM,  GTX 580 / AMD HD 7870,  Version 11,  Broadband Internet connection,  4 GB available space,  Risk of Rain 2 is an Early Access game, and the minimum specifications may change during development.","Early Access, Rogue-like, Multiplayer, Co-op, Early Access, Action, Indie, Third-Person Shooter, Great Soundtrack, Rogue-lite, Difficult, Singleplayer, 3D, Bullet Hell, Loot, Online Co-Op, Survival, Third Person, Local Co-Op, Sci-fi"
8,,,,No user reviews,,,,,
9,Human: Fall Flat,No Brakes Games,Very Positive,"22,400","Funny, Multiplayer, Co-op, Physics, Puzzle, Local Co-Op, Indie, Adventure, Puzzle-Platformer, Local Multiplayer, Sandbox, Comedy, Parkour, Open World, Singleplayer, Split Screen, Casual, 3D Platformer, Simulation, Survival", 48,"23 Jul, 2016"," Windows XP/Vista/7/8/8.1/10 x86 and x64,  Intel Core2 Duo E6750 (2 * 2660) or equivalent | AMD Athlon 64 X2 Dual Core 6000+ (2 * 3000) or equivalent,  1024 MB RAM,  GeForce GT 740 (2048 MB) or equivalent | Radeon HD 5770 (1024 MB),  500 MB available space","Funny, Multiplayer, Co-op, Physics, Puzzle, Local Co-Op, Indie, Adventure, Puzzle-Platformer, Local Multiplayer, Sandbox, Comedy, Parkour, Open World, Singleplayer, Split Screen, Casual, 3D Platformer, Simulation, Survival"
